cod_empresa|alerta|sequencia|num_programa|data_programa|cod_equip|num_ordem|ies_situa|cod_item_cliente|cod_item|operacao|qtd_planej|qtd_boas|horas_necessarias|qtd_percentual|obs_alerta
01|0|03|29726|2022-09-30 06:17:45|PR-0435|13901685|4|52056314|100000034801|006 - ESTAMPAR EM 02 ESTAGIOS|1300|938|1,574|0,722|
01|0|09|29728|2022-09-30 06:23:50|PR-0446|13889865|2|39112277  LE|100000052700|011 - ESTAMPAR EM 07 ESTAGIOS|800|0|3,333|0|
01|0|02|30267|2022-10-05 07:13:10|RM-0007|13938527|3|520171070|87000030520020|037 - MONTAR E SOLDAR MIG|4051|0|27,938|0|
01|0|01|29731|2022-09-30 06:34:08|SP-0451|13894599|4|52169075 LD|10000006660030|055 - MONTAR COMP.E SOLDAR PONTO|700|0|25,926|0|
01|0|02|29732|2022-09-30 06:35:53|SP-0451|13902690|3|52169078 LE|10000006670030|055 - MONTAR COMP.E SOLDAR PONTO|700|0|25,926|0|
01|0|03|29735|2022-09-30 06:54:14|SP-0443|13900988|3|64171-BX000 LE|52000195011220|043 - PONTEAR ABA|4342|0|17,368|0|
12|0|01|29884|2022-10-01 05:48:55|CELROB-UND1|12289779|4|534902650|870000318500|055 - MONTAR COMP.E SOLDAR PONTO|720|357|40,333|0,496|
01|0|04|30268|2022-10-05 07:13:44|PR-0158|13931142|2|2G5827445 LE|400001502300|009 - ESTAMPAR EM 05 ESTAGIOS|3500|0|12,069|0|
01|0|01|26105|2022-08-30 07:11:40|PR-0421|13526937|4|501464350|87000032850020|008 - ESTAMPAR EM 04 ESTAGIOS|4000|0|14,815|0|
01|0|04|30268|2022-10-05 07:13:44|PR-0158|13931151|2|2G5827446 LD|400001502400|009 - ESTAMPAR EM 05 ESTAGIOS|3500|0|12,069|0|
01|0|01|30269|2022-10-05 07:16:56|PR-0251|13940280|4|26227977|10000005570310|003 - CORTAR BLANK|2735|0|2,279|0|
01|0|01|29953|2022-10-01 13:15:03|PR-0439|13909641|4|94763437|100000039301|007 - ESTAMPAR EM 03 ESTAGIOS|2200|1394|2,687|0,634|
01|0|02|29740|2022-09-30 06:59:34|PR-0158|13899446|4|534984950|870000328301|007 - ESTAMPAR EM 03 ESTAGIOS|3000|0|8,333|0|
01|0|04|29741|2022-09-30 07:00:22|RM-0003|13895092|3|COMP2542|54000380010020|037 - MONTAR E SOLDAR MIG|3073|0|12,051|0|
01|0|03|29742|2022-09-30 07:01:57|RM-0007|13895320|3|65763-TFT-H000-H1|570002010907|037 - MONTAR E SOLDAR MIG|1000|0|6,944|0|
01|0|04|29743|2022-09-30 07:04:41|RM-0007|13895311|2|65762-TFT-H000-H1|570002010905|037 - MONTAR E SOLDAR MIG|1000|0|12,821|0|
01|0|01|30270|2022-10-05 07:18:13|SP-0460|13931989|4|467880620|870000309900|035 - SOLDAR PORCA|10826|8930|2,873|0,825|
01|0|02|30271|2022-10-05 07:24:55|SP-0438|13933602|3|26227899|100000054302|035 - SOLDAR PORCA|6000|0|15|0|
01|0|03|30272|2022-10-05 07:26:03|PR-0251|13942223|2|FA00ADB48240/245|87000031350210|001 - CORTAR TIRAS|2638|0|6,852|0|
01|1|03|30273|2022-10-05 07:34:01|PR-0420|13941008|4|520807010|87000031730020|009 - ESTAMPAR EM 05 ESTAGIOS|10000|1984|24,291|0,198|FERRAMENTA QUEBROU, PREVISÃO DE LIBERAÇÃO 06/10
01|0|09|30277|2022-10-05 07:41:31|PR-0438|13934665|2|53831_832K1010|51000350210010|003 - CORTAR BLANK|6000|0|3,871|0|
01|0|05|29940|2022-10-01 12:18:40|PR-0435|13911464|2|777050A010|51000350260020|008 - ESTAMPAR EM 04 ESTAGIOS|2556|0|9,129|0|
01|0|04|29755|2022-09-30 07:24:55|PR-0154|13894740|2|2G5827445_446|40000150230020|014 - REPUXAR|3500|0|11,29|0|
01|0|03|29756|2022-09-30 07:25:41|PR-0158|13901793|2|94763411|100000040501|007 - ESTAMPAR EM 03 ESTAGIOS|260|0|0,667|0|
01|0|06|29758|2022-09-30 07:27:29|SP-0454|13889490|4|52086578 LD|100000041900|035 - SOLDAR PORCA|2200|898|3,945|0,408|
01|0|08|30279|2022-10-05 07:42:23|BM-0008|13932761|4|509283650|870270313600|113 - SEPARAR E EMBALAR|640|0|4,923|0|
01|0|06|27041|2022-09-08 07:36:32|PR-0448|13662165|2|65165-T5N-M100-H1|570002006701|004 - ESTAMPAR CPL. PROGRESSIVA|3000|0|4,286|0|
01|0|02|29762|2022-09-30 08:19:01|BM-0001|13890946|4|A99924301|110000308900|088 - MONTAR E FECHAR SUB-CONJUNTO|1000|0|6,135|0|
01|0|02|29763|2022-09-30 08:19:53|MA-0001|13901971|3|1B2-F7200-00|16000060010610|037 - MONTAR E SOLDAR MIG|989|0|28,257|0|
01|0|18|29764|2022-09-30 08:24:36|BM-0010|13892940|4|520479600|870270312400|085 - REBITAR|12000|6000|15|0,5|
01|0|02|27096|2022-09-08 09:41:39|PR-0430|13657081|4|5U5827445  LE|400001501400|008 - ESTAMPAR EM 04 ESTAGIOS|2875|0|11,735|0|
01|0|12|29766|2022-09-30 08:33:59|PR-0447|13894813|2|611670A060 LD|49000216030010|004 - ESTAMPAR CPL. PROGRESSIVA|4000|0|5,714|0|
01|0|12|29766|2022-09-30 08:33:59|PR-0447|13894818|2|611680A060 LE|49000216040010|004 - ESTAMPAR CPL. PROGRESSIVA|4000|0|5,714|0|
12|0|03|29973|2022-10-01 15:54:33|PR-0440|12292293|4|53494303 LE|870000318901|004 - ESTAMPAR CPL. PROGRESSIVA|2840|2808|0,064|0,989|
12|0|23|29886|2022-10-01 05:50:50|CELROB-UND2|12291488|4|534895140|870000328200|055 - MONTAR COMP.E SOLDAR PONTO|720|600|13,333|0,833|
01|0|09|29773|2022-09-30 09:16:43|PR-0434|13894823|2|5128502060|510003500101|004 - ESTAMPAR CPL. PROGRESSIVA|3000|0|1,538|0|
01|0|05|29775|2022-09-30 09:20:07|PR-0426|13900873|2|61647K1010 LD/ 61648K1010 LE|51000350130010|003 - CORTAR BLANK|6000|0|2,362|0|
01|0|03|29776|2022-09-30 09:23:26|PR-0412|13895428|2|26228023 LE|630000176100|011 - ESTAMPAR EM 07 ESTAGIOS|10000|0|27,778|0|
01|0|03|29776|2022-09-30 09:23:26|PR-0412|13895445|2|26228037 LD|630000176200|011 - ESTAMPAR EM 07 ESTAGIOS|10000|0|27,778|0|
01|0|25|29781|2022-09-30 09:35:56|BM-0003|13892365|4|534840230|870000317000|072 - MONTAR E TRAVAR|5000|831|11,744|0,166|
01|0|03|29782|2022-09-30 09:38:14|RO-018|13893949|4|26288026|10000005450010|085 - REBITAR|6000|0|21,429|0|
